window_size,doc_count,char_count,token_count,avg_tokens_per_doc,completed_seeds,test_macro_f1_mean,test_macro_f1_std,test_accuracy_mean,test_accuracy_std
0,173,1659884,332879,1924.1560693641618,"13,21,42,7,87",0.6152597402597403,0.05898392508325293,0.77,0.024494897427831803
1,191,2577513,541553,2835.3560209424086,"13,21,42,7,87",0.5576436635260165,0.1143955749087496,0.79,0.03741657386773941
2,192,3445720,728666,3795.1354166666665,"13,21,42,7,87",0.6148088023088023,0.09711046928125461,0.79,0.020000000000000018
3,192,3954181,843673,4394.130208333333,"13,21,42,7,87",0.6108384262796027,0.1674362099070707,0.7899999999999999,0.08602325267042626
4,192,4516970,965212,5027.145833333333,"13,21,42,7,87",0.5583813980137509,0.07728264598870287,0.7699999999999999,0.05099019513592786
